#,Project,Tracker,Status,Priority,Subject,Assignee,Updated
5375,User Interface,Bug,New,Normal,Window resizing by mouse dragging problem in WEB client,Hynek Cihlar,05/17/2021 03:06 PM
4176,Database,Feature,New,Normal,make certain metadata tables aware of live runtime state,Igor Skornyakov,07/15/2022 12:18 AM
3789,Runtime Infrastructure,Feature,New,Normal,rewrite writeObject and readObject to rely on NativeTypeSerializer or a similar approach,Igor Skornyakov,07/21/2020 10:27 AM
2935,User Interface,Bug,New,Normal,Active drop-down disables triggers and WAIT ... PAUSE,Igor Skornyakov,01/06/2016 10:34 AM
6459,Database,Feature,New,Normal,query features,Igor Skornyakov,11/25/2022 05:40 PM
4043,Bugs,Bug,New,Normal,Eclipse static code analysis potential issues,Igor Skornyakov,04/19/2019 06:06 AM
2879,User Interface,Bug,New,Normal,selecting item from the list by mouse in SELECTION-LIST widget is broken,Igor Skornyakov,02/18/2016 09:04 AM
7364,Database,Bug,New,Normal,Build a full test-suite for fast copy-temp-table ,Ioana-Cristina Prioteasa,04/24/2025 03:38 AM
10732,Base Language,Bug,New,Normal,Fix Stream.assignDatum to handle all possible BDT types ,Lorian Sandu,10/16/2025 07:38 AM
9414,Runtime Infrastructure,Bug,New,Normal,Re-enable support for nio sockets on Java 17,Lorian Sandu,02/10/2025 06:40 AM
7337,Testing,Support,New,Normal,UI - Events,Marian Edu,02/27/2025 07:45 AM
6856,Testing,Support,New,Normal,user interface tests,Marian Edu,02/27/2025 07:45 AM
6861,Testing,Support,New,Normal,tests for valid and invalid 4GL syntax (parsing),Marian Edu,02/27/2025 07:53 AM
2298,User Interface,Feature,New,Normal,temporary account creation,Marius Gligor,11/16/2016 01:08 PM
2343,User Interface,Feature,New,Normal,implements a native solution to get system load for remote launcher,Marius Gligor,07/22/2014 02:08 PM
2167,Base Language,Feature,New,Normal,add longchar and codepage support,Ovidiu Maxiniuc,08/19/2013 02:09 PM
6507,Database,Feature,New,Normal,cross-database joins,Ovidiu Maxiniuc,09/09/2022 12:23 AM
4917,Database,Bug,New,Normal,eliminate redundant ORDER BY elements in multi-table queries,Ovidiu Maxiniuc,10/01/2020 01:16 PM
4516,Database,Feature,New,Normal,testing and completion of runtime compatibility for table/table-handle/dataset/dataset-handle parameter options,Ovidiu Maxiniuc,09/13/2023 08:17 AM
1690,Bugs,Bug,New,Normal,better exception handling when OS libraries are not found by P2J,Ovidiu Maxiniuc,10/23/2012 05:33 PM
2990,Database,Bug,New,Normal,inconsequent field names in shared temp-tables,Paul E,02/11/2016 11:18 AM
9708,Deployment,Support,New,Normal,rationalize and optimize the standard FWD images,Roger Borrello,10/16/2025 07:02 AM
9727,Conversion Tools,Feature,New,Normal,enable -? to provide syntax help in the various driver programs,Roger Borrello,03/06/2025 09:13 AM
9514,Runtime Infrastructure,Support,New,Normal,"assess, recommend and document monitoring tools plan",Roger Borrello,03/24/2025 11:01 AM
10719,Deployment,Feature,New,Normal,Base Docker images need version control,Roger Borrello,10/14/2025 06:23 PM
10727,Deployment,Support,New,Normal,implement a docker image that supports the full range of development processes without being a PITA,Roger Borrello,03/06/2026 09:11 AM
7342,Testing,Support,New,Normal,"evolve testcases project configuration and scripting to simplify, standardize and automate setup",Roger Borrello,02/27/2025 07:24 AM
4618,User Interface,Bug,New,Normal,Default location of dialog box title is left justified instead of centered,Roger Borrello,04/29/2020 12:01 PM
9529,User Interface,Bug,New,Normal,Newly created window is shown in front of DIALOG-BOX,?erban Bursuc,01/14/2025 06:33 AM
9592,User Interface,Bug,New,Normal,Implement a global cursor in Swing ,?erban Bursuc,01/30/2025 04:12 AM
9844,Testing,Support,New,Normal,finalize approach/techniques/standards for automating ABLUnit interactive UI tests,?erban Bursuc,07/22/2025 08:31 AM
2759,User Interface,Bug,New,Normal,the key input becomes frozen (no deadlock) if the keys are pressed rapidly,Sergey Ivanovskiy,11/16/2016 12:23 PM
1899,Core Development,Support,New,Normal,document the recent changes related to dynamic reloading of jar files,Stanislav Lomany,11/01/2012 06:46 PM
2896,Database,Bug,New,Normal,Close dynamically defined query when an underlying buffer is closed ,Stanislav Lomany,03/28/2016 03:06 PM
3082,User Interface,Feature,New,Normal,finish  [NO-]SCROLLBAR-VERTICAL and NUM-ITERATIONS runtime support,Stanislav Lomany,11/16/2016 12:23 PM
